      #Energy        TDOS-UP        TDOS-DOWN
     -22.31175       0.00000       0.00000
     -22.30175       0.00000       0.00000
     -22.29175       0.00000       0.00000
     -22.28075       0.00000       0.00000
     -22.27075       0.00000       0.00000
     -22.26075       0.00000       0.00000
     -22.25075       0.00000       0.00000
     -22.24075       0.00000       0.00000
     -22.23075       0.00000       0.00000
     -22.22075       0.00000       0.00000
     -22.21075       0.00000       0.00000
     -22.20075       0.00000       0.00000
     -22.19075       0.00000       0.00000
     -22.18075       0.00000       0.00000
     -22.17075       0.00000       0.00000
     -22.16075       0.00000       0.00000
     -22.14975       0.00000       0.00000
     -22.13975       0.00000       0.00000
     -22.12975       0.00000       0.00000
     -22.11975       0.00000       0.00000
     -22.10975       0.00000       0.00000
     -22.09975       0.00000       0.00000
     -22.08975       0.00000       0.00000
     -22.07975       0.00000       0.00000
     -22.06975       0.00000       0.00000
     -22.05975       0.00000       0.00000
     -22.04975       0.00000       0.00000
     -22.03975       0.00000       0.00000
     -22.02975       0.00000       0.00000
     -22.01875       0.00000       0.00000
     -22.00875       0.00000       0.00000
     -21.99875       0.00000       0.00000
     -21.98875       0.00000       0.00000
     -21.97875       0.00000       0.00000
     -21.96875       0.00000       0.00000
     -21.95875       0.00000       0.00000
     -21.94875       0.00000       0.00000
     -21.93875       0.00000       0.00000
     -21.92875       0.00000       0.00000
     -21.91875       0.00000       0.00000
     -21.90875       0.00000       0.00000
     -21.89875       0.00000       0.00000
     -21.88775       0.00000       0.00000
     -21.87775       0.00000       0.00000
     -21.86775       0.00000       0.00000
     -21.85775       0.00000       0.00000
     -21.84775       0.00000       0.00000
     -21.83775       0.00000       0.00000
     -21.82775       0.00000       0.00000
     -21.81775       0.00000       0.00000
     -21.80775       0.00000       0.00000
     -21.79775       0.00000       0.00000
     -21.78775       0.00000       0.00000
     -21.77775       0.00000       0.00000
     -21.76675       0.00000       0.00000
     -21.75675       0.00000       0.00000
     -21.74675       0.00000       0.00000
     -21.73675       0.00000       0.00000
     -21.72675       0.00000       0.00000
     -21.71675       0.00000       0.00000
     -21.70675       0.00000       0.00000
     -21.69675       0.00000       0.00000
     -21.68675       0.00000       0.00000
     -21.67675       0.00000       0.00000
     -21.66675       0.00000       0.00000
     -21.65675       0.00000       0.00000
     -21.64675       0.00000       0.00000
     -21.63575       0.00000       0.00000
     -21.62575       0.00000       0.00000
     -21.61575       0.00000       0.00000
     -21.60575       0.00000       0.00000
     -21.59575       0.00000       0.00000
     -21.58575       0.00000       0.00000
     -21.57575       0.00000       0.00000
     -21.56575       0.00000       0.00000
     -21.55575       0.00000       0.00000
     -21.54575       0.00000       0.00000
     -21.53575       0.00000       0.00000
     -21.52575       0.00000       0.00000
     -21.51575       0.00000       0.00000
     -21.50475       0.00000       0.00000
     -21.49475       0.00000       0.00000
     -21.48475       0.00000       0.00000
     -21.47475       0.00000       0.00000
     -21.46475       0.00000       0.00000
     -21.45475       0.00000       0.00000
     -21.44475       0.00000       0.00000
     -21.43475       0.00000       0.00000
     -21.42475       0.00000       0.00000
     -21.41475       0.00000       0.00000
     -21.40475       0.00000       0.00000
     -21.39475       0.00000       0.00000
     -21.38475       0.00000       0.00000
     -21.37375       0.00000       0.00000
     -21.36375       0.00000       0.00000
     -21.35375       0.00000       0.00000
     -21.34375       0.00000       0.00000
     -21.33375       0.00000       0.00000
     -21.32375       0.00000       0.00000
     -21.31375       0.00000       0.00000
     -21.30375       0.00000       0.00000
     -21.29375       0.00000       0.00000
     -21.28375       0.00000       0.00000
     -21.27375       0.00000       0.00000
     -21.26375       0.00000       0.00000
     -21.25375       0.00000       0.00000
     -21.24275       0.00000       0.00000
